127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000661
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000587
127.0.0.1, 2017-04-20 18:17:23, GET, /main/static/js/share.js, HTTP/1.1, 200, 0.000738
127.0.0.1, 2017-04-20 18:17:24, GET, /main/static/images/background.jpg, HTTP/1.1, 200, 0.000478
127.0.0.1, 2017-04-20 18:17:24, GET, /main/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000514
127.0.0.1, 2017-04-20 18:17:24, GET, /main/static/images/twitter.png, HTTP/1.1, 200, 0.000596
127.0.0.1, 2017-04-20 18:17:25, GET, /main/static/images/facebook.png, HTTP/1.1, 200, 0.001718
127.0.0.1, 2017-04-20 18:17:25, GET, /main/static/images/gplus-32.png, HTTP/1.1, 200, 0.001317
127.0.0.1, 2017-04-20 18:17:25, GET, /main/static/images/favicon.ico, HTTP/1.1, 200, 0.000468
127.0.0.1, 2017-04-20 18:18:04, GET, /main/hellopython, HTTP/1.1, 200, 0.044590
127.0.0.1, 2017-04-20 18:18:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000798
127.0.0.1, 2017-04-20 18:20:55, GET, /main/hellopython, HTTP/1.1, 200, 0.065813
127.0.0.1, 2017-04-20 18:20:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000375
127.0.0.1, 2017-04-20 18:21:03, GET, /main/hellopython/hello_world, HTTP/1.1, 200, 0.010291
127.0.0.1, 2017-04-20 18:21:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
